tipo,osm_id,osm_url,lat,lon,mecanismo,categoria,voltaje,detalle,operador,peligro,riesgo_max,riesgo_medio,mes_pico,especies
aerogenerador,2246305751,https://www.openstreetmap.org/node/2246305751,36.0675236,-5.6002711,colision_aerogenerador,eolico,,2 MW,,,7.913396267710178,4.725299797014057,ago,"Milano negro, Cigüeña blanca, Culebrera europea"
linea,181674245,https://www.openstreetmap.org/way/181674245,36.31742615434782,-5.366652106521738,colision_linea,transporte,400000.0,Línea de alta tensión Jordana Pinar del Rey y Pinar del Rey - Tajo Encantada 2,Red Eléctrica de España,,7.905628008466587,5.660139568155171,may,"Águila real, Águila calzada, Cigüeña blanca"
linea,1385771761,https://www.openstreetmap.org/way/1385771761,36.3074823,-5.3928274428571426,colision_linea,transporte,400000.0,Línea de alta tensión Castellar de la Frontera - Jordana y Castellar de la Frontera - Pinar del Rey,,,7.904250788665724,4.352253915598133,may,"Cigüeña blanca, Águila real, Culebrera europea"
apoyo,6619841990,https://www.openstreetmap.org/node/6619841990,36.2118475,-5.9417139,electrocucion,distribucion,20000.0,pole,,1.0,7.892411750367017,3.825574082554183,abr,"Águila real, Búho real, Cigüeña blanca"
apoyo,6619841989,https://www.openstreetmap.org/node/6619841989,36.211538,-5.9414591,electrocucion,distribucion,20000.0,pole,,1.0,7.892411750367017,3.825574082554183,abr,"Águila real, Búho real, Cigüeña blanca"
apoyo,6619841992,https://www.openstreetmap.org/node/6619841992,36.2147398,-5.9441628,electrocucion,distribucion,20000.0,pole,,1.0,7.892411750367017,3.825574082554183,abr,"Águila real, Búho real, Cigüeña blanca"
apoyo,6619841991,https://www.openstreetmap.org/node/6619841991,36.2133959,-5.9430148,electrocucion,distribucion,20000.0,pole,,1.0,7.892411750367017,3.825574082554183,abr,"Águila real, Búho real, Cigüeña blanca"
aerogenerador,9014436833,https://www.openstreetmap.org/node/9014436833,36.3254467,-5.8945633,colision_aerogenerador,eolico,,3 MW,,,7.879674422707302,4.374121676868858,ene,"Milano real, Búho real, Halcón peregrino"
apoyo,6170070289,https://www.openstreetmap.org/node/6170070289,36.3005505,-5.4007217,electrocucion,distribucion,15000.0,tower,,1.0,7.877257208960085,4.20337067438536,may,"Cigüeña blanca, Águila real, Buitre leonado"
apoyo,6170070288,https://www.openstreetmap.org/node/6170070288,36.301962,-5.4002792,electrocucion,distribucion,15000.0,tower,,1.0,7.877257208960085,4.20337067438536,may,"Cigüeña blanca, Águila real, Buitre leonado"
apoyo,6170070287,https://www.openstreetmap.org/node/6170070287,36.3040923,-5.4002376,electrocucion,distribucion,15000.0,tower,,1.0,7.877257208960085,4.20337067438536,may,"Cigüeña blanca, Águila real, Buitre leonado"
apoyo,6612939575,https://www.openstreetmap.org/node/6612939575,36.1973326,-5.9299216,electrocucion,distribucion,20000.0,tower,,1.0,7.854844449977906,5.114650480146548,sep,"Halcón peregrino, Cigüeña blanca, Milano negro"
apoyo,6612939574,https://www.openstreetmap.org/node/6612939574,36.1959592,-5.928335,electrocucion,distribucion,20000.0,tower,,1.0,7.854844449977906,5.114650480146548,sep,"Halcón peregrino, Cigüeña blanca, Milano negro"
apoyo,6612939572,https://www.openstreetmap.org/node/6612939572,36.1975544,-5.9296748,electrocucion,distribucion,20000.0,tower,,1.0,7.854844449977906,5.114650480146548,sep,"Halcón peregrino, Cigüeña blanca, Milano negro"
apoyo,6612939573,https://www.openstreetmap.org/node/6612939573,36.196812,-5.9290499,electrocucion,distribucion,20000.0,tower,,1.0,7.854844449977906,5.114650480146548,sep,"Halcón peregrino, Cigüeña blanca, Milano negro"
apoyo,9249377671,https://www.openstreetmap.org/node/9249377671,36.1963246,-5.9263503,electrocucion,distribucion,20000.0,tower,,1.0,7.854844449977906,5.114650480146548,sep,"Halcón peregrino, Cigüeña blanca, Milano negro"
apoyo,10560078206,https://www.openstreetmap.org/node/10560078206,36.2140828,-5.9498009,electrocucion,distribucion,20000.0,tower,,1.0,7.822502687545276,3.76466880271229,abr,"Águila real, Búho real, Cigüeña blanca"
apoyo,10560078208,https://www.openstreetmap.org/node/10560078208,36.2147776,-5.9470315,electrocucion,distribucion,20000.0,tower,,1.0,7.822502687545276,3.76466880271229,abr,"Águila real, Búho real, Cigüeña blanca"
apoyo,10560081309,https://www.openstreetmap.org/node/10560081309,36.2149342,-5.9455073,electrocucion,distribucion,20000.0,tower,,1.0,7.822502687545276,3.76466880271229,abr,"Águila real, Búho real, Cigüeña blanca"
apoyo,10560078207,https://www.openstreetmap.org/node/10560078207,36.2144188,-5.9484505,electrocucion,distribucion,20000.0,tower,,1.0,7.822502687545276,3.76466880271229,abr,"Águila real, Búho real, Cigüeña blanca"
apoyo,4038091893,https://www.openstreetmap.org/node/4038091893,36.232087,-5.363389,electrocucion,distribucion,66000.0,tower,,1.0,7.7997816840604415,3.097948820835089,sep,"Halcón peregrino, Águila calzada, Cigüeña negra"
apoyo,4038091898,https://www.openstreetmap.org/node/4038091898,36.233459,-5.3622363,electrocucion,distribucion,66000.0,tower,,1.0,7.7997816840604415,3.097948820835089,sep,"Halcón peregrino, Águila calzada, Cigüeña negra"
linea,704263423,https://www.openstreetmap.org/way/704263423,36.215972108333325,-5.944033624999999,colision_linea,distribucion,20000.0,minor_line,,,7.758315568377766,4.021484112815464,abr,"Águila real, Búho real, Cigüeña blanca"
apoyo,6612939578,https://www.openstreetmap.org/node/6612939578,36.2013271,-5.9331925,electrocucion,distribucion,20000.0,tower,,1.0,7.73774887941839,4.844076205521666,abr,"Águila real, Búho real, Cigüeña blanca"
